,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
5968,6,2,2,1.0,2,1,0,0,11,96.0,2.0,1.0,239.99999999999974,1,0.23376623376623376,8
5969,5,1,2,1.0,1,1,1,0,6,93.0,1.0,1.0,85.00000000000001,1,0.24675324675324675,5
5970,6,2,4,1.0,2,1,1,1,28,91.0,1.0,2.0,119.99999999999996,1,0.18181818181818185,8
5971,5,0,1,1.5,0,0,0,0,8,90.0,1.0,2.0,30.000000000000004,0,0.15584415584415584,7
5974,6,1,1,1.0,2,1,0,0,13,90.0,1.0,1.0,64.99999999999999,1,0.2077922077922078,8
5975,6,2,6,1.0,2,1,0,0,95,96.0,1.0,1.0,289.0000000000003,1,0.4545454545454545,9
5976,5,1,2,1.0,2,1,0,1,6,100.0,0.0,1.0,149.99999999999997,1,0.24675324675324675,7
5977,5,2,1,1.0,1,1,1,0,29,98.0,0.0,1.0,88.99999999999999,1,0.24675324675324675,7
5978,6,2,6,1.0,1,1,1,0,113,98.0,2.0,3.0,155.00000000000003,1,0.2727272727272727,8
5979,4,1,4,2.0,0,1,1,0,49,98.0,2.0,2.0,224.9999999999998,1,0.2727272727272727,6
5980,6,2,4,1.0,2,1,1,0,17,93.0,2.0,2.0,179.0,1,0.2987012987012987,6
5982,6,2,2,1.0,0,0,1,0,86,93.0,0.0,1.0,149.99999999999997,1,0.16883116883116886,7
5983,6,1,1,1.0,2,1,1,0,20,95.0,1.0,1.0,100.00000000000004,0,0.14285714285714285,9
5984,6,2,4,1.0,2,1,0,1,4,95.0,1.0,2.0,189.00000000000043,1,0.2857142857142857,0
5985,3,1,2,0.0,0,0,1,0,32,94.0,1.0,2.0,82.9999999999999,1,0.24675324675324675,6
5986,6,2,3,1.0,1,1,1,0,67,94.0,0.0,2.0,149.99999999999997,1,0.2207792207792208,9
5987,5,2,5,2.0,2,1,1,0,6,97.0,2.0,3.0,229.00000000000043,0,0.2077922077922078,7
5988,6,2,2,1.5,1,1,1,0,5,100.0,1.0,1.0,210.0,0,0.3246753246753247,7
5989,6,2,2,1.0,1,0,1,0,19,96.0,0.0,1.0,119.99999999999996,1,0.2207792207792208,5
5991,4,1,2,1.0,1,1,1,1,11,98.0,1.0,1.0,85.00000000000001,1,0.3116883116883117,4
5993,6,2,6,2.0,2,0,1,0,3,93.0,2.0,2.0,649.9999999999992,1,0.37662337662337664,6
5994,6,2,4,1.0,1,1,1,1,82,97.0,1.0,1.0,179.99999999999991,1,0.2597402597402597,6
5995,6,1,6,1.0,1,1,1,0,46,94.0,2.0,2.0,300.00000000000017,0,0.2077922077922078,3
5996,6,2,4,1.0,2,1,1,0,127,97.0,1.0,2.0,129.99999999999997,1,0.4545454545454545,8
5997,5,2,2,1.0,0,1,1,0,7,97.0,1.0,1.0,270.00000000000006,1,0.2857142857142857,6
5998,6,2,5,1.0,2,1,0,1,59,93.0,2.0,2.0,348.99999999999994,1,0.3636363636363637,9
5999,5,2,4,2.0,2,1,1,0,12,98.0,2.0,2.0,338.9999999999999,1,0.2987012987012987,6
6000,6,2,2,1.0,2,1,1,0,60,99.0,1.0,1.0,155.00000000000003,1,0.24675324675324675,7
6002,6,1,2,1.0,2,1,0,0,5,100.0,1.0,2.0,110.00000000000004,1,0.18181818181818185,9
6003,5,2,4,1.0,2,1,1,0,105,98.0,1.0,2.0,164.9999999999998,1,0.2987012987012987,5
6004,6,2,3,1.0,1,0,0,0,2,100.0,0.0,2.0,98.00000000000004,1,0.2597402597402597,8
6005,4,2,4,1.0,2,1,1,0,1,100.0,1.0,2.0,648.9999999999998,1,0.37662337662337664,9
6006,5,0,1,1.0,0,0,1,1,31,97.0,1.0,1.0,28.99999999999999,1,0.24675324675324675,0
6008,5,1,2,1.0,1,1,1,1,121,98.0,1.0,1.0,115.0,1,0.2597402597402597,6
6009,1,2,2,1.0,2,0,1,1,18,97.0,0.0,1.0,177.00000000000009,1,0.2857142857142857,8
6010,2,1,2,1.0,1,0,0,1,4,100.0,1.0,1.0,95.0,1,0.11688311688311688,8
6011,5,2,4,1.0,1,1,1,0,48,96.0,1.0,2.0,130.99999999999994,1,0.2727272727272727,7
6012,4,2,4,2.0,2,1,1,0,15,91.0,1.0,3.0,220.00000000000043,1,0.2597402597402597,6
6013,6,1,2,1.0,0,0,0,1,3,90.0,1.0,1.0,45.00000000000002,1,0.16883116883116886,8
6016,6,2,2,1.0,1,0,1,0,1,100.0,0.0,1.0,50.000000000000036,1,0.025974025974025976,8
6017,6,2,2,1.0,0,1,1,0,3,100.0,1.0,1.0,85.00000000000001,1,0.1948051948051948,7
6019,6,2,4,1.0,2,1,1,0,8,94.0,2.0,3.0,99.0,1,0.2207792207792208,9
6020,6,2,2,1.0,1,1,1,0,27,99.0,1.0,1.0,100.00000000000004,1,0.24675324675324675,3
6021,6,1,2,1.0,0,1,1,1,14,96.0,1.0,1.0,97.0,1,0.2857142857142857,9
6023,6,2,5,1.0,0,0,1,1,3,90.0,2.0,2.0,85.00000000000001,1,0.23376623376623376,4
6024,6,1,2,1.0,0,1,0,0,10,96.0,1.0,1.0,74.99999999999997,1,0.23376623376623376,2
6025,1,2,2,1.0,0,1,1,0,1,100.0,1.0,1.0,100.00000000000004,1,0.2727272727272727,7
6026,6,2,4,1.0,2,1,1,0,20,96.0,2.0,2.0,199.99999999999991,1,0.23376623376623376,9
6027,6,2,4,1.0,2,1,0,0,20,92.0,1.0,2.0,184.99999999999991,1,0.4545454545454545,9
6028,5,1,2,1.0,2,1,1,1,61,96.0,1.0,1.0,39.99999999999998,0,0.11688311688311688,2
6029,6,2,2,1.0,2,1,1,0,65,92.0,1.0,1.0,108.99999999999996,1,0.12987012987012986,8
6031,5,2,2,1.0,0,1,1,0,111,97.0,0.0,1.0,129.99999999999997,1,0.2597402597402597,7
6032,6,2,5,1.0,2,1,1,0,30,97.0,2.0,2.0,149.99999999999997,1,0.2987012987012987,4
6033,6,1,2,1.0,2,1,1,1,4,95.0,1.0,1.0,45.00000000000002,1,0.2077922077922078,2
6034,6,1,2,1.0,2,1,0,0,7,93.0,1.0,1.0,94.0,1,0.15584415584415584,8
6035,5,1,1,1.0,0,1,1,0,5,96.0,1.0,1.0,69.00000000000001,1,0.2857142857142857,7
6036,6,1,2,1.0,0,1,1,0,17,95.0,1.0,1.0,64.99999999999999,1,0.1948051948051948,3
6037,6,2,4,1.0,2,1,1,0,4,100.0,1.0,3.0,225.99999999999991,1,0.2077922077922078,8
6038,6,1,2,1.0,2,0,0,1,5,96.0,0.0,1.0,34.99999999999999,1,0.14285714285714285,7
6041,6,2,2,1.0,1,1,0,1,1,100.0,0.0,1.0,169.99999999999991,1,0.2857142857142857,9
6042,6,1,1,2.0,0,0,0,1,4,100.0,1.0,1.0,70.00000000000003,1,0.1948051948051948,7
6043,6,2,4,1.0,1,1,1,0,11,95.0,2.0,2.0,164.9999999999998,0,0.2857142857142857,6
6044,6,2,2,1.0,1,0,1,1,1,100.0,1.0,1.0,199.99999999999991,1,0.16883116883116886,8
6045,2,1,1,2.0,0,1,0,0,3,90.0,1.0,1.0,59.99999999999999,0,0.2077922077922078,8
6046,5,1,2,1.0,1,1,0,0,2,100.0,1.0,1.0,85.00000000000001,0,0.24675324675324675,7
6047,5,2,2,1.0,2,1,1,0,13,100.0,0.0,1.0,79.99999999999997,1,0.5584415584415584,6
6048,6,2,5,2.0,1,1,1,1,9,93.0,2.0,2.0,175.00000000000009,0,0.23376623376623376,7
6049,6,2,6,1.0,1,1,1,0,15,96.0,2.0,2.0,245.99999999999991,0,0.2077922077922078,8
6050,6,2,4,1.0,2,1,1,0,38,96.0,1.0,2.0,275.00000000000057,1,0.3116883116883117,9
6052,6,2,4,1.0,2,1,0,1,20,98.0,1.0,2.0,149.99999999999997,0,0.3376623376623377,7
6054,6,2,3,1.0,1,1,1,1,14,99.0,1.0,1.0,175.00000000000009,1,0.2597402597402597,4
6055,6,2,2,1.0,2,1,1,0,47,96.0,0.0,2.0,125.00000000000004,1,0.23376623376623376,9
6056,6,2,2,1.0,1,0,1,1,3,100.0,0.0,1.0,219.00000000000003,1,0.18181818181818185,6
6057,5,2,4,1.0,2,1,1,0,37,98.0,1.0,2.0,169.0,1,0.2077922077922078,7
6059,5,2,3,1.0,2,1,1,0,12,92.0,2.0,2.0,199.99999999999991,1,0.3246753246753247,6
6062,6,2,4,1.0,1,1,1,1,2,100.0,2.0,2.0,85.00000000000001,1,0.23376623376623376,5
6064,6,1,2,1.0,2,1,0,1,28,88.0,1.0,1.0,96.0,1,0.12987012987012986,9
6065,5,1,2,1.0,2,1,1,1,10,100.0,1.0,1.0,45.00000000000002,1,0.23376623376623376,1
6067,6,2,2,1.0,2,1,1,0,2,100.0,0.0,1.0,104.99999999999996,0,0.2857142857142857,9
6068,6,1,2,1.0,0,1,0,0,1,100.0,1.0,1.0,59.00000000000002,1,0.18181818181818185,7
6069,6,1,2,1.0,2,1,1,0,52,96.0,1.0,1.0,59.99999999999999,1,0.15584415584415584,2
6070,6,1,2,1.0,2,1,0,1,44,93.0,1.0,1.0,149.0,1,0.3246753246753247,7
6071,3,2,3,1.0,2,1,0,1,3,100.0,1.0,1.0,249.99999999999991,1,0.14285714285714285,4
6072,6,2,2,1.0,1,1,1,1,76,91.0,1.0,1.0,179.99999999999991,1,0.2077922077922078,9
6073,6,2,2,1.0,1,1,1,0,110,90.0,0.0,1.0,119.00000000000013,0,0.24675324675324675,7
6074,6,2,4,1.0,1,1,1,0,10,98.0,1.0,1.0,125.00000000000004,1,0.3246753246753247,7
6077,5,1,2,1.0,2,0,1,0,93,98.0,1.0,1.0,175.00000000000009,1,0.3376623376623377,6
6079,6,1,4,1.0,2,1,1,1,2,90.0,1.0,2.0,96.0,0,0.23376623376623376,2
6080,0,2,2,1.0,1,1,1,0,7,100.0,1.0,1.0,108.99999999999996,1,0.23376623376623376,7
6081,6,1,1,1.0,0,0,1,0,32,98.0,1.0,1.0,59.00000000000002,1,0.12987012987012986,8
6082,6,1,2,1.0,2,1,1,0,67,97.0,1.0,1.0,59.99999999999999,0,0.09090909090909093,8
6083,6,1,2,1.0,2,1,1,0,97,91.0,1.0,1.0,85.00000000000001,0,0.2207792207792208,9
6084,6,2,2,1.0,1,1,1,1,9,98.0,1.0,1.0,110.00000000000004,1,0.2597402597402597,7
6085,6,1,1,1.0,1,0,1,0,27,98.0,1.0,1.0,104.99999999999996,0,0.2077922077922078,0
6086,6,2,2,1.0,0,1,1,0,3,100.0,1.0,2.0,149.99999999999997,1,0.2077922077922078,6
6087,1,2,6,1.0,1,1,1,0,58,90.0,2.0,3.0,164.9999999999998,1,0.11688311688311688,8
6091,3,1,2,1.0,2,1,1,0,126,98.0,1.0,1.0,110.00000000000004,1,0.2857142857142857,0
6092,6,2,4,1.0,1,1,1,0,23,97.0,1.0,1.0,110.00000000000004,1,0.2857142857142857,8
6093,0,2,3,1.0,2,1,1,1,1,100.0,1.0,1.0,74.99999999999997,1,0.14285714285714285,1
6094,6,2,2,1.0,1,0,1,0,3,100.0,0.0,1.0,127.99999999999996,1,0.2597402597402597,8
6095,6,2,3,1.0,0,1,1,1,7,94.0,1.0,1.0,199.99999999999991,1,0.23376623376623376,5
6097,6,1,2,2.0,1,1,1,0,3,100.0,1.0,1.0,164.9999999999998,1,0.23376623376623376,8
6098,6,2,4,1.0,1,0,1,0,3,90.0,2.0,2.0,83.99999999999999,1,0.1948051948051948,8
6099,6,1,2,1.0,2,1,1,0,82,90.0,1.0,1.0,64.99999999999999,0,0.14285714285714285,8
6100,6,2,6,1.0,1,1,1,0,41,94.0,2.0,3.0,199.0,1,0.4805194805194805,8
6103,5,1,2,1.0,1,1,1,1,103,96.0,1.0,1.0,62.00000000000001,1,0.24675324675324675,7
6104,6,2,2,1.0,1,1,1,0,10,100.0,1.0,1.0,100.00000000000004,1,0.37662337662337664,8
6105,6,2,2,1.0,2,1,1,0,31,90.0,1.0,1.0,100.00000000000004,1,0.2597402597402597,8
6106,6,2,3,1.0,2,1,1,0,17,96.0,1.0,2.0,95.0,0,0.2207792207792208,9
6108,5,2,3,1.0,0,1,1,1,78,99.0,1.0,2.0,99.0,1,0.2207792207792208,1
6109,6,2,4,1.0,2,1,1,1,6,90.0,1.0,2.0,138.99999999999997,1,0.2857142857142857,7
6111,6,1,2,1.0,1,1,1,0,15,99.0,1.0,1.0,89.99999999999967,1,0.2207792207792208,2
6114,4,2,6,1.0,2,1,1,1,73,90.0,2.0,3.0,335.00000000000017,1,0.2987012987012987,9
6115,6,2,4,1.0,2,1,0,0,20,97.0,2.0,3.0,175.00000000000009,0,0.2077922077922078,8
6116,6,1,3,1.0,0,0,0,0,2,100.0,1.0,1.0,48.99999999999999,1,0.2857142857142857,1
6117,6,2,2,1.0,2,1,1,0,12,97.0,1.0,1.0,224.9999999999998,1,0.15584415584415584,9
6118,6,2,3,1.0,1,1,1,1,3,100.0,1.0,1.0,119.99999999999996,1,0.2597402597402597,3
6119,6,2,3,1.0,0,1,0,1,16,94.0,1.0,2.0,210.0,0,0.15584415584415584,9
6120,5,1,4,2.5,0,0,1,0,2,100.0,2.0,2.0,125.00000000000004,1,0.1948051948051948,5
6122,3,2,2,1.0,2,1,0,0,4,95.0,1.0,1.0,169.99999999999991,1,0.2597402597402597,4
6123,5,1,2,1.0,1,1,1,0,11,91.0,1.0,1.0,99.0,1,0.16883116883116886,6
6124,6,1,2,1.0,2,0,0,1,2,100.0,1.0,1.0,74.99999999999997,1,0.2987012987012987,1
6125,6,2,4,1.0,2,1,0,1,2,100.0,1.0,2.0,224.9999999999998,1,0.3246753246753247,9
6126,6,1,1,1.0,0,1,1,0,13,91.0,1.0,1.0,54.00000000000001,0,0.1948051948051948,8
6127,6,2,2,1.0,2,1,1,0,13,98.0,1.0,1.0,119.99999999999996,1,0.3116883116883117,8
6129,6,2,4,1.0,1,1,1,0,109,93.0,1.0,2.0,195.0,1,0.24675324675324675,8
6130,6,1,3,1.0,2,1,0,0,3,100.0,1.0,2.0,138.99999999999997,0,0.18181818181818185,9
6131,5,2,5,1.0,1,1,1,0,106,92.0,2.0,2.0,98.00000000000004,1,0.4675324675324675,3
6132,6,2,2,1.0,2,1,1,1,138,93.0,0.0,1.0,175.00000000000009,1,0.2857142857142857,4
6134,3,1,2,1.0,1,0,0,1,68,95.0,1.0,2.0,79.0,0,0.18181818181818185,5
6135,5,1,2,1.0,2,1,1,0,55,95.0,1.0,1.0,25.00000000000001,0,0.23376623376623376,3
6136,3,1,2,1.0,0,1,1,0,51,96.0,1.0,1.0,87.0,1,0.35064935064935066,7
6137,6,2,4,1.0,2,1,1,0,13,92.0,1.0,1.0,349.99999999999983,1,0.12987012987012986,9
6138,6,1,2,1.0,0,0,1,0,8,95.0,1.0,1.0,74.99999999999997,1,0.35064935064935066,5
6139,6,2,4,1.0,2,1,1,1,125,94.0,0.0,2.0,125.00000000000004,1,0.2727272727272727,5
6141,6,1,1,1.0,2,1,1,0,7,97.0,1.0,1.0,48.99999999999999,1,0.16883116883116886,8
6142,6,2,2,1.0,2,0,1,0,3,93.0,1.0,2.0,224.9999999999998,1,0.09090909090909093,9
6143,4,1,1,1.0,0,1,1,1,1,100.0,1.0,1.0,39.99999999999998,1,0.2857142857142857,4
6144,5,1,2,1.0,1,1,1,0,30,99.0,1.0,1.0,99.0,0,0.24675324675324675,6
6146,1,2,4,2.5,2,1,1,0,8,100.0,2.0,2.0,400.00000000000017,1,0.2857142857142857,7
6147,6,1,2,1.0,2,1,0,0,3,100.0,2.0,1.0,119.99999999999996,1,0.1038961038961039,9
6149,6,1,2,1.0,1,0,0,0,1,100.0,1.0,1.0,59.99999999999999,1,0.2857142857142857,2
6150,5,2,2,1.0,2,1,1,0,65,100.0,1.0,1.0,175.00000000000009,1,0.3246753246753247,1
6151,6,2,3,1.0,0,1,1,0,3,100.0,0.0,1.0,139.99999999999994,1,0.23376623376623376,5
6152,6,2,2,1.0,1,1,1,0,32,94.0,1.0,1.0,108.99999999999996,1,0.14285714285714285,8
6154,6,2,4,1.0,0,1,1,0,22,89.0,1.0,2.0,149.0,1,0.1948051948051948,8
6156,2,2,3,1.0,2,1,1,0,53,94.0,0.0,1.0,79.0,1,0.18181818181818185,8
6157,6,2,2,1.0,1,1,1,1,85,97.0,1.0,1.0,144.99999999999997,1,0.3376623376623377,6
6159,5,2,2,1.0,1,1,0,0,2,100.0,1.0,1.0,400.00000000000017,1,0.23376623376623376,6
6160,6,2,4,2.0,2,1,1,0,1,100.0,2.0,2.0,199.99999999999991,0,0.2077922077922078,9
6162,2,2,3,1.0,0,1,1,0,28,98.0,1.0,2.0,98.00000000000004,1,0.2987012987012987,5
6164,6,2,2,1.0,1,1,1,0,20,99.0,1.0,1.0,295.0000000000001,1,0.2987012987012987,9
6165,6,2,2,1.0,2,1,0,0,76,96.0,1.0,1.0,199.0,0,0.18181818181818185,6
6166,6,1,2,1.0,2,1,1,0,98,89.0,1.0,1.0,70.00000000000003,1,0.18181818181818185,9
6168,6,1,1,1.0,0,1,0,0,3,100.0,1.0,1.0,39.99999999999998,1,0.2597402597402597,2
6169,6,1,2,1.0,2,0,1,0,97,96.0,1.0,1.0,99.0,1,0.3246753246753247,6
6174,5,2,2,1.0,2,1,0,1,17,94.0,1.0,1.0,88.99999999999999,1,0.18181818181818185,8
6175,6,2,1,1.0,1,1,1,0,35,95.0,0.0,1.0,214.99999999999991,0,0.12987012987012986,6
6176,5,1,2,1.0,1,1,1,0,4,100.0,1.0,1.0,42.00000000000001,1,0.2597402597402597,3
6177,6,2,2,1.0,1,1,1,1,22,95.0,1.0,1.0,70.00000000000003,1,0.18181818181818185,7
6178,6,1,2,1.0,2,1,1,0,44,96.0,1.0,1.0,55.00000000000002,1,0.2597402597402597,7
6179,6,2,3,1.0,0,0,0,0,20,94.0,0.0,2.0,199.99999999999991,1,0.2077922077922078,9
6180,6,2,3,1.0,2,1,1,0,27,88.0,1.0,2.0,149.99999999999997,1,0.12987012987012986,9
6181,6,2,5,1.0,2,1,0,0,16,96.0,1.0,3.0,309.0000000000007,1,0.3116883116883117,9
6182,6,1,1,1.0,2,1,1,1,28,90.0,1.0,1.0,55.00000000000002,1,0.2207792207792208,2
6184,6,1,2,1.0,0,0,1,0,9,100.0,1.0,1.0,125.00000000000004,1,0.24675324675324675,9
6185,3,1,2,1.0,0,0,0,1,3,100.0,0.0,1.0,138.99999999999997,0,0.2727272727272727,2
6186,6,2,4,1.0,2,1,0,1,5,88.0,1.0,1.0,201.0,1,0.23376623376623376,4
6187,6,1,1,1.0,0,1,0,1,2,100.0,1.0,1.0,32.999999999999986,1,0.12987012987012986,2
6189,6,1,2,1.0,2,1,1,1,17,93.0,1.0,1.0,63.99999999999998,1,0.2597402597402597,3
6190,6,1,1,1.0,0,0,1,1,69,95.0,1.0,1.0,74.99999999999997,1,0.3636363636363637,9
6191,4,1,2,1.0,2,1,1,0,20,99.0,1.0,1.0,139.99999999999994,1,0.2727272727272727,6
6193,5,2,5,2.5,2,1,1,0,16,100.0,2.0,2.0,227.00000000000009,1,0.2857142857142857,3
6194,6,2,2,1.0,0,0,1,0,1,100.0,1.0,1.0,125.00000000000004,1,0.2727272727272727,5
6196,6,2,5,1.0,2,1,0,0,19,91.0,2.0,3.0,349.99999999999983,0,0.2597402597402597,9
6197,5,1,1,1.0,2,0,1,0,52,98.0,1.0,1.0,69.00000000000001,1,0.3636363636363637,1
6198,5,1,2,1.0,0,0,0,0,90,94.0,1.0,1.0,52.000000000000036,1,0.18181818181818185,5
6201,6,1,2,1.0,0,1,0,1,4,100.0,1.0,1.0,59.99999999999999,0,0.09090909090909093,8
6202,5,0,1,1.0,0,0,0,1,9,100.0,1.0,1.0,15.999999999999998,1,0.1948051948051948,0
6203,5,2,2,1.0,1,1,0,0,143,96.0,1.0,1.0,119.00000000000013,0,0.24675324675324675,9
6204,5,1,2,1.0,1,0,1,0,13,100.0,1.0,1.0,67.00000000000004,1,0.23376623376623376,8
6207,6,2,2,1.0,1,1,1,1,47,99.0,0.0,1.0,125.00000000000004,1,0.4805194805194805,6
6208,3,1,3,1.0,2,1,1,1,72,98.0,1.0,1.0,53.00000000000001,1,0.42857142857142855,8
6209,5,1,2,1.5,1,1,1,0,27,98.0,1.0,1.0,70.00000000000003,1,0.2857142857142857,5
6210,6,2,6,1.0,2,1,1,0,9,91.0,2.0,2.0,249.99999999999991,0,0.23376623376623376,9
6211,5,1,2,1.0,0,1,1,1,10,94.0,1.0,1.0,69.00000000000001,1,0.24675324675324675,1
6212,6,2,2,1.0,2,1,1,0,12,97.0,0.0,1.0,220.00000000000043,0,0.2077922077922078,9
6214,6,2,2,1.0,2,1,0,1,3,93.0,0.0,1.0,169.0,1,0.15584415584415584,9
6215,6,1,1,1.0,0,0,0,1,4,100.0,1.0,1.0,42.00000000000001,0,0.14285714285714285,8
6216,6,2,2,1.0,1,1,0,0,19,96.0,1.0,1.0,149.99999999999997,1,0.2597402597402597,6
6217,5,1,2,1.0,1,1,1,0,45,90.0,1.0,1.0,42.00000000000001,1,0.2857142857142857,5
6218,6,1,3,1.0,1,1,0,1,18,96.0,0.0,2.0,69.00000000000001,0,0.1948051948051948,8
6219,6,1,2,1.0,2,1,1,0,1,100.0,1.0,1.0,38.99999999999999,1,0.2207792207792208,3
6221,6,1,2,1.0,2,1,0,0,37,94.0,1.0,1.0,48.99999999999999,1,0.2727272727272727,4
6223,6,2,2,1.0,2,1,1,0,34,88.0,1.0,1.0,69.00000000000001,1,0.16883116883116886,7
6224,6,1,2,1.0,1,1,1,1,1,100.0,1.0,1.0,65.99999999999997,1,0.15584415584415584,8
6225,6,1,2,1.0,2,1,1,0,2,100.0,1.0,1.0,55.00000000000002,0,0.2207792207792208,4
6227,6,1,2,1.0,1,1,1,1,2,100.0,1.0,1.0,30.000000000000004,1,0.07792207792207792,2
6228,6,1,2,1.0,2,1,1,0,14,100.0,1.0,1.0,100.00000000000004,1,0.24675324675324675,8
6229,2,2,2,1.0,2,0,1,0,39,92.0,0.0,1.0,100.00000000000004,1,0.2727272727272727,9
6230,6,1,2,1.0,2,1,1,0,1,100.0,1.0,1.0,55.00000000000002,1,0.37662337662337664,9
6231,6,1,1,1.0,2,1,0,1,9,98.0,1.0,1.0,46.0,1,0.2597402597402597,4
6233,5,2,4,1.0,1,0,1,0,68,91.0,2.0,2.0,139.99999999999994,1,0.2727272727272727,8
6234,6,2,2,1.0,2,1,1,0,78,96.0,0.0,1.0,135.00000000000003,1,0.2857142857142857,7
6236,6,0,2,1.0,2,0,1,0,38,96.0,1.0,2.0,45.00000000000002,0,0.15584415584415584,7
6237,6,0,1,1.0,2,0,0,0,95,97.0,1.0,1.0,36.999999999999964,0,0.2207792207792208,7
6238,6,2,2,1.0,2,1,1,0,97,94.0,0.0,1.0,100.00000000000004,0,0.2727272727272727,7
6239,6,1,2,1.0,2,1,1,0,26,98.0,1.0,1.0,89.99999999999967,1,0.35064935064935066,9
6240,6,2,2,1.0,2,1,1,1,37,95.0,1.0,1.0,175.00000000000009,0,0.07792207792207792,9
6242,3,1,2,2.5,1,1,0,0,5,100.0,1.0,3.0,89.99999999999967,0,0.2207792207792208,7
6246,2,1,5,1.5,1,1,1,0,15,91.0,1.0,2.0,41.000000000000036,0,0.23376623376623376,0
6247,6,2,3,1.0,1,1,1,0,6,93.0,1.0,2.0,309.0000000000007,1,0.18181818181818185,9
6248,6,2,2,1.0,1,0,1,0,43,93.0,0.0,1.0,119.00000000000013,1,0.1948051948051948,3
6249,6,2,6,1.0,2,1,0,0,27,100.0,0.0,1.0,99.0,1,0.5064935064935064,8
6250,5,1,3,1.0,2,1,1,0,20,95.0,1.0,2.0,138.99999999999997,1,0.23376623376623376,5
6251,6,1,2,1.0,1,0,1,0,28,98.0,1.0,1.0,199.99999999999991,1,0.23376623376623376,9
6252,5,2,3,1.0,1,1,1,0,20,99.0,1.0,1.0,99.0,1,0.24675324675324675,7
6253,6,2,6,2.0,2,1,0,1,10,96.0,2.0,3.0,248.9999999999997,1,0.3636363636363637,7
6254,3,1,1,1.0,1,1,0,1,65,88.0,1.0,1.0,81.99999999999993,1,0.16883116883116886,9
6255,6,1,2,1.5,2,1,0,0,79,100.0,1.0,1.0,96.0,1,0.2727272727272727,7
6256,6,1,2,1.0,2,1,1,0,1,100.0,1.0,1.0,74.99999999999997,1,0.23376623376623376,7
6257,6,2,4,1.0,1,1,1,1,54,90.0,1.0,2.0,69.00000000000001,1,0.2077922077922078,7
6259,6,1,4,1.0,1,1,1,0,69,93.0,1.0,1.0,100.00000000000004,0,0.3636363636363637,9
6260,6,2,4,1.0,2,0,1,0,1,100.0,0.0,2.0,99.0,1,0.1948051948051948,5
6261,6,1,2,1.0,2,0,0,0,11,98.0,1.0,1.0,59.00000000000002,1,0.2727272727272727,9
6266,5,1,2,1.0,1,1,1,1,78,95.0,1.0,1.0,72.0,1,0.23376623376623376,7
6267,6,1,2,1.0,1,1,1,1,23,97.0,1.0,1.0,59.99999999999999,1,0.2597402597402597,1
6268,6,2,6,2.0,1,1,1,0,2,100.0,2.0,3.0,149.99999999999997,1,0.23376623376623376,1
6269,6,1,2,1.0,2,1,1,0,103,96.0,1.0,1.0,100.00000000000004,0,0.3636363636363637,7
6270,6,1,2,1.0,2,1,1,0,13,100.0,1.0,1.0,48.99999999999999,0,0.18181818181818185,8
6271,6,2,4,1.0,2,1,1,1,69,98.0,1.0,2.0,122.00000000000004,1,0.3636363636363637,5
6273,6,2,1,1.0,0,0,1,0,8,95.0,1.0,1.0,89.99999999999967,1,0.2597402597402597,7
6274,6,1,2,1.0,2,0,1,0,75,95.0,1.0,1.0,74.99999999999997,0,0.15584415584415584,7
6276,3,2,3,1.0,2,1,1,0,19,89.0,1.0,2.0,199.0,1,0.2987012987012987,9
6277,5,1,2,1.0,0,0,1,0,4,95.0,1.0,1.0,59.99999999999999,1,0.3116883116883117,7
6279,1,2,3,1.0,1,1,1,0,31,99.0,1.0,2.0,28.99999999999999,1,0.5454545454545454,9
6282,6,2,2,1.0,2,1,0,1,6,93.0,0.0,1.0,138.00000000000006,1,0.16883116883116886,9
6283,5,2,6,2.0,0,1,1,0,39,93.0,2.0,2.0,144.99999999999997,1,0.1948051948051948,0
6284,5,1,2,1.0,2,1,0,0,2,90.0,1.0,1.0,159.0,0,0.24675324675324675,7
6285,3,2,5,1.0,1,1,1,0,27,97.0,2.0,3.0,249.99999999999991,1,0.24675324675324675,6
6286,6,2,4,1.0,2,0,1,0,18,98.0,1.0,2.0,149.99999999999997,1,0.16883116883116886,9
6287,3,1,2,1.0,0,1,0,0,5,100.0,1.0,1.0,59.99999999999999,1,0.2077922077922078,7
6290,6,1,2,1.0,0,1,0,0,2,100.0,1.0,1.0,69.00000000000001,1,0.14285714285714285,9
6291,6,1,2,1.0,1,0,1,0,131,96.0,1.0,1.0,126.00000000000013,1,0.16883116883116886,9
6292,5,1,1,1.0,1,1,1,0,3,100.0,1.0,1.0,88.99999999999999,1,0.2207792207792208,5
6293,6,2,4,1.0,1,1,1,0,55,89.0,1.0,2.0,300.00000000000017,0,0.2077922077922078,9
6294,6,2,4,1.0,2,1,1,0,16,88.0,2.0,2.0,100.00000000000004,1,0.24675324675324675,9
6295,6,2,5,2.5,2,1,1,0,92,93.0,2.0,3.0,400.00000000000017,1,0.35064935064935066,9
6297,0,1,1,1.0,2,0,1,1,1,100.0,1.0,1.0,44.00000000000002,1,0.2077922077922078,3
6298,6,1,2,1.0,0,1,1,0,13,98.0,1.0,1.0,46.0,1,0.6103896103896104,8
